#{"t_start": 1611479954.505621, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.961844
-348.0,349,8.738466
-429.0,430,13.994786
-184.0,185,15.711958
-163.0,164,17.346843
-134.0,135,17.850945
-104.0,105,19.280246
-140.0,141,20.217973
-155.0,156,21.989391
-101.0,102,22.373042
-95.0,96,23.769376
-144.0,145,24.728329
-124.0,125,26.21663
-140.0,141,26.745206
-116.0,117,28.19471
-116.0,117,28.647466
-91.0,92,29.977896
-100.0,101,30.752143
-99.0,100,31.135126
-100.0,101,32.507615
-131.0,132,32.998482
-101.0,102,34.387667
-133.0,134,35.279328
-86.0,87,36.620728
-83.0,84,36.937114
-86.0,87,37.271294
-73.0,74,38.601612
-103.0,104,39.067085
-101.0,102,39.660897
-80.0,81,41.404461
-99.0,100,41.79147
-92.0,93,42.153008
-83.0,84,43.482719
-77.0,78,43.801774
-94.0,95,44.160928
-68.0,69,45.429559
-75.0,76,45.724555
-98.0,99,46.487397
-85.0,86,47.819252
-82.0,83,48.126642
-75.0,76,48.41827
-63.0,64,49.687751
-109.0,110,50.096386
-85.0,86,50.42984
-84.0,85,52.118947
-87.0,88,52.459622
-90.0,91,52.804752
-86.0,87,54.145198
-72.0,73,54.431535
-63.0,64,54.677427
-75.0,76,55.963854
-72.0,73,56.240345
-73.0,74,56.874745
-84.0,85,57.20184
-76.0,77,58.489807
-98.0,99,58.885063
-75.0,76,59.185626
-100.0,101,60.568396
-71.0,72,60.836172
-80.0,81,61.479819
-96.0,97,62.832909
-77.0,78,63.116164
-83.0,84,63.428293
-110.0,111,64.862699
-92.0,93,65.211063
-62.0,63,65.450087
-86.0,87,67.198177
-140.0,141,67.743026
-79.0,80,69.039629
-87.0,88,69.415974
-77.0,78,69.736494
-77.0,78,71.391037
-96.0,97,71.763229
-78.0,79,72.399818
-111.0,112,73.848624
-92.0,93,74.23326
-76.0,77,74.518979
-78.0,79,75.943315
-69.0,70,76.202868
-172.0,173,77.842783
-89.0,90,78.505231
-71.0,72,78.78422
-76.0,77,80.076055
-62.0,63,80.319196
-61.0,62,80.55628
-63.0,64,80.805272
-93.0,94,82.160225
-79.0,80,82.456727
-72.0,73,83.062258
-84.0,85,84.421898
-71.0,72,84.690413
-144.0,145,85.234703
-62.0,63,86.449976
-128.0,129,86.968721
-82.0,83,88.286903
-60.0,61,88.904098
-76.0,77,89.207755
-67.0,68,89.464323
-97.0,98,90.881732
-76.0,77,91.182291
-72.0,73,91.464531
-88.0,89,92.886807
-72.0,73,93.17522
-77.0,78,93.834344
-64.0,65,95.15991
-94.0,95,95.543242
-76.0,77,95.830404
-91.0,92,97.169218
-72.0,73,97.453426
-81.0,82,97.760679
-78.0,79,98.405704
-82.0,83,99.83885
-86.0,87,100.35003
-88.0,89,100.814744
-92.0,93,102.160272
-92.0,93,102.510737
-74.0,75,103.788413
-82.0,83,104.095189
-73.0,74,104.767564
-75.0,76,105.048805
-83.0,84,106.364761
-142.0,143,106.901469
-80.0,81,108.22871
-172.0,173,108.874221
-72.0,73,110.507661
-120.0,121,110.957649
-82.0,83,111.273181
-89.0,90,112.61321
-82.0,83,112.915246
-149.0,150,114.499065
-77.0,78,115.120002
-97.0,98,115.504894
-69.0,70,116.779932
-67.0,68,117.03331
-93.0,94,117.39243
-94.0,95,118.773388
-88.0,89,119.110224
-217.0,218,121.358047
-91.0,92,121.71232
-90.0,91,123.05844
-63.0,64,123.292963
-71.0,72,123.567091
-88.0,89,123.8977
-75.0,76,125.544204
-75.0,76,125.842868
-62.0,63,126.085466
-69.0,70,127.370634
-86.0,87,127.710059
-62.0,63,127.944227
-77.0,78,128.236931
-119.0,120,129.764952
-81.0,82,130.438186
-83.0,84,132.047799
-75.0,76,132.344464
-91.0,92,132.694003
-71.0,72,132.964858
-63.0,64,134.298341
-112.0,113,134.756992
-63.0,64,134.998149
-90.0,91,136.66941
-70.0,71,136.939734
-63.0,64,137.193819
-82.0,83,138.49907
-86.0,87,138.834323
-91.0,92,139.184495
-84.0,85,140.527712
-72.0,73,140.814301
-91.0,92,141.498445
-79.0,80,142.823685
-81.0,82,143.128035
-70.0,71,143.392863
-62.0,63,143.627209
-79.0,80,144.952638
-70.0,71,145.219521
-100.0,101,145.599099
-81.0,82,147.257166
-70.0,71,147.534068
-72.0,73,147.820818
-78.0,79,149.142237
-86.0,87,149.475816
-81.0,82,149.813357
-264.0,265,152.170928
-62.0,63,153.428035
-70.0,71,153.694637
-70.0,71,153.963422
-88.0,89,154.302024
-63.0,64,155.569333
-70.0,71,155.837735
-90.0,91,156.517801
-74.0,75,157.805452
-87.0,88,158.14494
-76.0,77,158.445811
-71.0,72,159.915074
-116.0,117,160.431162
-70.0,71,160.724731
-81.0,82,162.471896
-102.0,103,163.209352
-73.0,74,163.500683
-74.0,75,164.851463
-73.0,74,165.159829
-70.0,71,165.445146
-71.0,72,165.736647
-71.0,72,167.065139
-76.0,77,167.38082
-63.0,64,168.208984
-187.0,188,169.977951
-83.0,84,170.310967
-81.0,82,171.715348
-90.0,91,172.102225
-70.0,71,172.392746
-73.0,74,173.726058
-78.0,79,174.428547
-73.0,74,174.729158
-93.0,94,176.18662
-62.0,63,176.450369
-77.0,78,176.755899
-70.0,71,177.03262
-76.0,77,178.388703
-83.0,84,178.714136
-83.0,84,179.390279
-81.0,82,180.76362
-85.0,86,181.087706
-75.0,76,181.404388
-119.0,120,182.852918
-78.0,79,183.17224
-99.0,100,183.558481
-70.0,71,185.261404
-92.0,93,185.640182
-75.0,76,185.93424
-79.0,80,187.2516
-72.0,73,187.545183
-75.0,76,187.83016
-92.0,93,189.191631
-77.0,78,189.499249
-138.0,139,190.58196
-75.0,76,192.183697
-70.0,71,192.452003
-93.0,94,192.815391
-95.0,96,194.190226
-62.0,63,194.429394
-62.0,63,194.674306
-63.0,64,196.300795
-63.0,64,196.567935
-69.0,70,196.864278
-62.0,63,197.104591
-70.0,71,198.400747
-71.0,72,198.685046
-76.0,77,198.978036
-84.0,85,200.33308
-63.0,64,200.579652
-99.0,100,201.398706
-76.0,77,201.700326
-70.0,71,203.011087
-104.0,105,203.413767
-60.0,61,203.6547
-63.0,64,204.956569
-88.0,89,205.319183
-88.0,89,206.016685
-91.0,92,207.459045
-89.0,90,207.818497
-83.0,84,208.148074
-112.0,113,209.59015
-84.0,85,209.915748
-92.0,93,210.283617
-189.0,190,212.411211
-75.0,76,213.717338
-78.0,79,214.024777
-77.0,78,214.329946
-63.0,64,214.578846
-63.0,64,215.856294
-74.0,75,216.150823
-82.0,83,216.864641
-109.0,110,218.307499
-82.0,83,218.634184
-104.0,105,219.054601
-71.0,72,220.452208
-87.0,88,220.808985
-74.0,75,221.195217
-133.0,134,223.344016
-75.0,76,223.644325
-85.0,86,224.983992
-70.0,71,225.275455
-77.0,78,225.595287
-70.0,71,225.869827
-71.0,72,227.169105
-69.0,70,227.428878
-62.0,63,228.10567
-86.0,87,229.505886
-71.0,72,229.788057
-88.0,89,230.136893
-74.0,75,230.456786
-76.0,77,231.78795
-71.0,72,232.077568
-63.0,64,232.331852
-70.0,71,233.992943
-88.0,89,234.339353
-71.0,72,234.617182
-92.0,93,235.996879
-72.0,73,236.292674
-64.0,65,236.544651
-75.0,76,236.835066
-218.0,219,239.056158
-74.0,75,240.455283
-177.0,178,241.146417
-81.0,82,242.45793
-73.0,74,242.737824
-76.0,77,243.031169
-70.0,71,243.650234
-70.0,71,244.963138
-77.0,78,245.266103
-81.0,82,245.610234
-70.0,71,246.883569
-90.0,91,247.22923
-62.0,63,247.488208
-74.0,75,247.77032
-64.0,65,249.032265
-77.0,78,249.71009
-128.0,129,251.296468
-86.0,87,251.65614
-71.0,72,252.010299
-72.0,73,252.488947
-77.0,78,253.855038
-71.0,72,254.130402
-70.0,71,254.745439
-63.0,64,256.02477
-75.0,76,256.319179
-70.0,71,256.598075
-72.0,73,256.877304
-70.0,71,258.172193
-103.0,104,258.56885
-71.0,72,258.834337
-70.0,71,260.112302
-84.0,85,260.810036
-75.0,76,261.104347
-92.0,93,262.493804
-84.0,85,262.823013
-76.0,77,263.112812
-69.0,70,264.401588
-75.0,76,264.716156
-75.0,76,265.339624
-87.0,88,265.678038
-77.0,78,267.001822
-93.0,94,267.356292
-93.0,94,268.729075
-79.0,80,269.025746
-63.0,64,269.26088
-77.0,78,269.547171
-70.0,71,271.199315
-76.0,77,271.491458
-64.0,65,271.739985
-105.0,106,273.119207
-70.0,71,273.384603
-63.0,64,273.619171
-70.0,71,273.884816
-89.0,90,275.222763
-73.0,74,275.890807
-71.0,72,276.162652
-86.0,87,277.506589
-88.0,89,277.840111
-71.0,72,278.115401
-88.0,89,279.462929
-76.0,77,279.755774
-76.0,77,280.060608
-91.0,92,281.763054
-70.0,71,282.04033
-71.0,72,282.352061
-107.0,108,284.073806
-63.0,64,284.360039
-71.0,72,284.634415
-70.0,71,284.899448
-76.0,77,286.271046
-76.0,77,286.885238
-81.0,82,287.219998
-71.0,72,288.513207
-134.0,135,289.013476
-83.0,84,289.33748
-88.0,89,290.718042
-82.0,83,291.055223
-76.0,77,291.742002
-70.0,71,293.035452
-80.0,81,293.352031
-71.0,72,293.631881
-87.0,88,294.968425
-79.0,80,295.275737
-77.0,78,295.573725
-71.0,72,296.86982
-89.0,90,297.601073
-76.0,77,297.904947
-62.0,63,298.154527
-123.0,124,299.658488
-89.0,90,299.997461
-79.0,80,301.388477
-71.0,72,301.663494
-68.0,69,301.9239
-92.0,93,303.681449
-82.0,83,303.982906
-62.0,63,304.221961
-82.0,83,304.541555
-70.0,71,305.908616
-77.0,78,306.241894
-81.0,82,306.560445
-83.0,84,308.204931
-62.0,63,308.466434
-90.0,91,308.812494
-63.0,64,310.108695
-71.0,72,310.39698
-70.0,71,310.66519
-63.0,64,310.90991
-77.0,78,312.2993
-75.0,76,312.62041
-70.0,71,313.417221
-77.0,78,314.870833
-70.0,71,315.13666
-93.0,94,315.494536
