#{"t_start": 1611479954.5126185, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.956098
-370.0,371,8.822165
-385.0,386,13.901633
-240.0,241,15.838933
-196.0,197,17.589767
-155.0,156,19.210933
-109.0,110,20.031119
-150.0,151,21.778828
-148.0,149,22.344376
-118.0,119,23.828303
-130.0,131,24.733772
-105.0,106,26.150667
-88.0,89,26.484329
-98.0,99,26.856785
-104.0,105,28.258644
-101.0,102,28.656345
-121.0,122,30.491733
-84.0,85,30.817401
-112.0,113,32.241586
-91.0,92,32.584088
-86.0,87,32.908132
-89.0,90,34.251332
-90.0,91,34.588808
-81.0,82,35.289234
-88.0,89,36.636855
-93.0,94,36.991439
-93.0,94,37.355274
-62.0,63,38.662945
-87.0,88,39.030462
-71.0,72,39.457931
-74.0,75,39.870566
-83.0,84,41.570267
-102.0,103,41.966537
-103.0,104,43.379971
-62.0,63,43.618891
-79.0,80,43.940017
-103.0,104,45.344597
-191.0,192,46.46395
-68.0,69,47.736252
-67.0,68,47.986395
-81.0,82,48.299903
-110.0,111,49.744172
-81.0,82,50.048566
-78.0,79,50.354648
-76.0,77,52.014907
-104.0,105,52.419672
-101.0,102,52.806378
-81.0,82,54.126066
-71.0,72,54.409833
-94.0,95,54.771259
-106.0,107,56.177211
-102.0,103,56.925828
-82.0,83,57.241182
-93.0,94,58.594094
-64.0,65,58.860176
-63.0,64,59.11213
-102.0,103,60.505697
-91.0,92,60.848336
-85.0,86,61.511225
-113.0,114,62.925313
-90.0,91,63.257999
-71.0,72,64.547076
-80.0,81,64.848931
-87.0,88,65.177546
-105.0,106,66.578345
-80.0,81,67.306048
-61.0,62,67.55296
-87.0,88,68.865359
-71.0,72,69.171361
-79.0,80,69.497147
-76.0,77,69.809624
-92.0,93,71.522485
-88.0,89,71.865585
-75.0,76,72.489737
-70.0,71,73.784495
-75.0,76,74.094473
-92.0,93,74.45223
-62.0,63,75.820728
-87.0,88,76.143689
-91.0,92,76.488415
-95.0,96,77.840636
-197.0,198,78.911789
-80.0,81,80.230913
-87.0,88,80.565173
-75.0,76,80.858602
-73.0,74,82.139187
-84.0,85,82.454492
-81.0,82,83.092602
-72.0,73,84.407671
-89.0,90,84.743461
-73.0,74,85.026415
-71.0,72,86.26514
-82.0,83,86.602035
-78.0,79,86.913785
-66.0,67,87.164698
-98.0,99,88.931599
-72.0,73,89.220996
-79.0,80,89.523745
-74.0,75,90.852874
-94.0,95,91.222579
-83.0,84,91.553272
-80.0,81,92.944003
-85.0,86,93.635193
-96.0,97,94.015032
-70.0,71,95.373937
-92.0,93,95.729876
-81.0,82,96.036727
-72.0,73,97.309244
-112.0,113,97.735657
-73.0,74,98.014
-63.0,64,99.696492
-99.0,100,100.255682
-62.0,63,100.634236
-89.0,90,101.980705
-71.0,72,102.255088
-71.0,72,102.527636
-63.0,64,102.768215
-99.0,100,104.140884
-89.0,90,104.86725
-84.0,85,106.181037
-98.0,99,106.553213
-77.0,78,106.845845
-63.0,64,107.086154
-87.0,88,108.444148
-93.0,94,108.79089
-98.0,99,110.521189
-97.0,98,110.885035
-87.0,88,111.212547
-63.0,64,112.464767
-74.0,75,112.739219
-96.0,97,113.090636
-76.0,77,114.405235
-74.0,75,115.016993
-64.0,65,115.266597
-92.0,93,115.625763
-75.0,76,116.923799
-70.0,71,117.186667
-82.0,83,117.506277
-70.0,71,118.797644
-96.0,97,119.167984
-73.0,74,119.837738
-83.0,84,121.171251
-94.0,95,121.552853
-73.0,74,121.827352
-125.0,126,123.301308
-76.0,77,123.594529
-96.0,97,123.953541
-61.0,62,125.550884
-70.0,71,125.828865
-71.0,72,126.106532
-73.0,74,127.408432
-73.0,74,127.695401
-63.0,64,127.934281
-94.0,95,128.289681
-80.0,81,129.670388
-77.0,78,129.981538
-82.0,83,130.777135
-81.0,82,132.245801
-75.0,76,132.541701
-91.0,92,132.892836
-87.0,88,134.315029
-70.0,71,134.612729
-88.0,89,134.950881
-71.0,72,136.544585
-79.0,80,136.855848
-75.0,76,137.154156
-72.0,73,138.42254
-70.0,71,138.697617
-83.0,84,139.012883
-75.0,76,139.306069
-76.0,77,140.616792
-77.0,78,141.248308
-71.0,72,141.536449
-78.0,79,142.850799
-63.0,64,143.088249
-70.0,71,143.353639
-63.0,64,143.591809
-70.0,71,144.882868
-137.0,138,145.403311
-62.0,63,145.982955
-75.0,76,147.274933
-71.0,72,147.554523
-71.0,72,147.837966
-62.0,63,149.097552
-70.0,71,149.370943
-71.0,72,149.661145
-69.0,70,149.946539
-79.0,80,151.265155
-70.0,71,151.849285
-78.0,79,152.161034
-120.0,121,153.635968
-69.0,70,153.898911
-79.0,80,154.204704
-81.0,82,155.540715
-70.0,71,155.808933
-89.0,90,156.48533
-69.0,70,157.753399
-61.0,62,157.992396
-88.0,89,158.336409
-125.0,126,160.037488
-70.0,71,160.353589
-111.0,112,160.816595
-70.0,71,162.514804
-95.0,96,163.227674
-70.0,71,163.502244
-89.0,90,164.911227
-77.0,78,165.237709
-106.0,107,165.671142
-71.0,72,166.999721
-70.0,71,167.288183
-105.0,106,168.286566
-91.0,92,169.65794
-70.0,71,169.956345
-86.0,87,170.300845
-85.0,86,171.720667
-71.0,72,172.024133
-87.0,88,172.390777
-77.0,78,173.739004
-76.0,77,174.43449
-89.0,90,174.80004
-83.0,84,176.217353
-82.0,83,176.5601
-83.0,84,176.888904
-63.0,64,177.136266
-64.0,65,178.445863
-140.0,141,179.34228
-70.0,71,180.674742
-71.0,72,180.946233
-76.0,77,181.243063
-70.0,71,181.532452
-81.0,82,182.83934
-83.0,84,183.177819
-71.0,72,183.45803
-98.0,99,185.266967
-80.0,81,185.599412
-73.0,74,185.88646
-62.0,63,187.138576
-71.0,72,187.422816
-99.0,100,187.804635
-87.0,88,189.147188
-75.0,76,189.439778
-78.0,79,190.26415
-71.0,72,190.57629
-71.0,72,192.162496
-82.0,83,192.475773
-83.0,84,192.801264
-71.0,72,194.084165
-68.0,69,194.348669
-78.0,79,194.652921
-70.0,71,196.307163
-70.0,71,196.611531
-91.0,92,196.979798
-84.0,85,198.330397
-71.0,72,198.613786
-76.0,77,198.907535
-71.0,72,199.18414
-71.0,72,200.489861
-71.0,72,201.19576
-78.0,79,201.502952
-85.0,86,202.879464
-130.0,131,203.379849
-70.0,71,203.659963
-81.0,82,205.029949
-76.0,77,205.348563
-70.0,71,205.976357
-76.0,77,207.358812
-129.0,130,207.875968
-70.0,71,208.153609
-71.0,72,209.440604
-78.0,79,209.737537
-82.0,83,210.05447
-70.0,71,211.357905
-83.0,84,212.035993
-72.0,73,212.340559
-108.0,109,213.776906
-76.0,77,214.076959
-83.0,84,214.405332
-75.0,76,215.730749
-72.0,73,216.018819
-80.0,81,216.344916
-88.0,89,217.075829
-100.0,101,218.482392
-75.0,76,218.774012
-69.0,70,219.06016
-88.0,89,220.54362
-71.0,72,220.818993
-71.0,72,221.19906
-81.0,82,223.131827
-84.0,85,223.471928
-80.0,81,223.784588
-83.0,84,225.137427
-81.0,82,225.473593
-100.0,101,225.8639
-70.0,71,227.158963
-83.0,84,227.47281
-80.0,81,228.219789
-81.0,82,229.603359
-78.0,79,229.909003
-139.0,140,230.486733
-91.0,92,231.875957
-75.0,76,232.188601
-73.0,74,232.478051
-77.0,78,234.158394
-86.0,87,234.49947
-77.0,78,234.801646
-82.0,83,236.139678
-63.0,64,236.403425
-70.0,71,236.676544
-100.0,101,238.092845
-63.0,64,238.343333
-63.0,64,238.932344
-75.0,76,239.224184
-76.0,77,240.650222
-87.0,88,240.98221
-150.0,151,242.554813
-75.0,76,242.841969
-62.0,63,243.082138
-64.0,65,243.677708
-71.0,72,244.995759
-74.0,75,245.287151
-87.0,88,245.653066
-76.0,77,246.949486
-76.0,77,247.242244
-77.0,78,247.559219
-76.0,77,248.861126
-81.0,82,249.549104
-71.0,72,249.833911
-70.0,71,250.120464
-71.0,72,251.491826
-69.0,70,251.7791
-74.0,75,252.204538
-63.0,64,253.645358
-70.0,71,253.911503
-310.0,311,256.484623
-76.0,77,256.787777
-167.0,168,258.449229
-75.0,76,258.735614
-76.0,77,260.034006
-79.0,80,260.706956
-165.0,166,262.38272
-96.0,97,262.760406
-74.0,75,263.043017
-71.0,72,263.31859
-76.0,77,264.655798
-77.0,78,264.949433
-77.0,78,265.583677
-70.0,71,266.887589
-63.0,64,267.126035
-87.0,88,267.461211
-63.0,64,268.718975
-79.0,80,269.01586
-82.0,83,269.322192
-71.0,72,269.584773
-83.0,84,271.286484
-97.0,98,271.660944
-77.0,78,271.965774
-71.0,72,273.204692
-70.0,71,273.470728
-91.0,92,273.812921
-71.0,72,275.081198
-72.0,73,275.35579
-89.0,90,276.085518
-89.0,90,277.438822
-91.0,92,277.786303
-71.0,72,278.0602
-70.0,71,279.340147
-97.0,98,279.712121
-93.0,94,280.083122
-135.0,136,281.957072
-71.0,72,282.245347
-80.0,81,282.583458
-72.0,73,284.206149
-76.0,77,284.501987
-89.0,90,284.841132
-71.0,72,286.194677
-71.0,72,286.789011
-91.0,92,287.15059
-75.0,76,288.469655
-89.0,90,288.801982
-75.0,76,289.093721
-74.0,75,290.380968
-70.0,71,290.688264
-81.0,82,291.022501
-76.0,77,291.70891
-88.0,89,293.07073
-72.0,73,293.357663
-88.0,89,293.701604
-72.0,73,294.980939
-63.0,64,295.228607
-77.0,78,295.526359
-82.0,83,296.86389
-88.0,89,297.591111
-87.0,88,297.938531
-63.0,64,299.214263
-83.0,84,299.539669
-70.0,71,299.811173
-75.0,76,300.098422
-76.0,77,301.477722
-71.0,72,301.751086
-96.0,97,302.482954
-63.0,64,303.763568
-87.0,88,304.084347
-61.0,62,304.32855
-77.0,78,305.693104
-73.0,74,306.015252
-88.0,89,306.384288
-77.0,78,306.680304
-89.0,90,308.364659
-82.0,83,308.686367
-75.0,76,308.974475
-83.0,84,310.352329
-87.0,88,310.693002
-64.0,65,310.941783
-92.0,93,312.390573
-63.0,64,312.662452
-63.0,64,313.449619
-83.0,84,314.910757
-72.0,73,315.182091
-70.0,71,315.450065
-132.0,133,316.97781
-62.0,63,317.219544
-154.0,155,317.809712
-92.0,93,319.537114
-70.0,71,319.807842
-87.0,88,320.146928
-102.0,103,321.606719
-71.0,72,321.879381
-63.0,64,322.121623
-68.0,69,323.403146
-500.0,500,327.719875
-86.0,87,328.049845
-63.0,64,328.301569
-63.0,64,328.976869
-71.0,72,330.249891
-63.0,64,330.494894
-71.0,72,330.773401
-70.0,71,332.078681
-80.0,81,332.387471
-75.0,76,332.672721
-70.0,71,332.939164
-71.0,72,334.235704
-71.0,72,334.863575
-73.0,74,335.147097
-72.0,73,336.463933
-78.0,79,336.754288
-70.0,71,337.025962
-63.0,64,337.273976
-88.0,89,338.651667
-80.0,81,338.965059
-70.0,71,339.675884
-62.0,63,340.950958
-70.0,71,341.224616
-63.0,64,341.490967
-64.0,65,341.737639
-70.0,71,343.044212
-82.0,83,343.393063
-71.0,72,343.689753
-71.0,72,345.273956
-75.0,76,345.934257
-70.0,71,346.20948
-71.0,72,346.504605
-83.0,84,347.82549
-75.0,76,348.115162
-71.0,72,348.389983
-85.0,86,349.72096
-74.0,75,350.005605
-63.0,64,350.6548
-70.0,71,350.933573
-70.0,71,352.28071
-79.0,80,352.597461
-69.0,70,352.859978
-63.0,64,354.15935
-74.0,75,354.449763
-70.0,71,354.722472
-63.0,64,354.962522
-71.0,72,356.721795
-89.0,90,357.05962
-74.0,75,357.356025
-76.0,77,358.719763
-136.0,137,359.251218
-63.0,64,359.497054
-70.0,71,360.796734
-62.0,63,361.037041
-63.0,64,361.767421
-97.0,98,363.138683
-69.0,70,363.413688
-70.0,71,363.691007
-62.0,63,363.925881
-76.0,77,365.235247
-69.0,70,365.501387
-72.0,73,365.777934
-63.0,64,366.017045
-62.0,63,367.705609
-85.0,86,368.050391
-74.0,75,368.347231
-94.0,95,369.719553
-85.0,86,370.045128
-69.0,70,370.323934
-62.0,63,371.605643
-75.0,76,371.913481
-70.0,71,372.507379
-63.0,64,372.760017
-70.0,71,374.143051
-63.0,64,374.560728
-71.0,72,374.936317
-63.0,64,375.1926
-87.0,88,376.52447
-126.0,127,377.022675
-84.0,85,378.737833
-70.0,71,379.002046
-70.0,71,379.275172
-78.0,79,380.570293
-70.0,71,380.837841
-71.0,72,381.112545
-84.0,85,381.444618
-71.0,72,382.772698
-93.0,94,383.474084
-79.0,80,383.796571
-72.0,73,385.082397
-64.0,65,385.325645
-71.0,72,385.602386
-162.0,163,387.246108
-63.0,64,387.490076
-71.0,72,388.10857
-61.0,62,389.355067
-75.0,76,389.653267
-81.0,82,389.958163
-76.0,77,391.236335
-75.0,76,391.521638
-62.0,63,391.765289
-88.0,89,392.112759
-63.0,64,393.358728
-70.0,71,393.960984
-83.0,84,394.288776
-77.0,78,395.574387
-71.0,72,395.852394
-62.0,63,396.089148
-76.0,77,396.385465
-71.0,72,397.697613
-80.0,81,398.016257
-62.0,63,398.606943
-64.0,65,398.885731
-70.0,71,400.216914
-71.0,72,400.499785
-79.0,80,400.811567
-70.0,71,402.150635
-70.0,71,402.428406
-63.0,64,402.682678
-100.0,101,404.089301
-79.0,80,404.720492
-86.0,87,405.051466
-90.0,91,406.387937
-87.0,88,406.715739
-80.0,81,407.045342
-75.0,76,408.347397
-70.0,71,408.612916
-72.0,73,409.211522
-71.0,72,409.501186
-86.0,87,410.854537
-72.0,73,411.144878
-71.0,72,411.427418
-89.0,90,412.793442
-77.0,78,413.093362
-63.0,64,413.334053
-71.0,72,413.604828
-109.0,110,415.336157
-62.0,63,415.571576
-79.0,80,415.873586
-71.0,72,417.167261
-60.0,61,417.40118
-62.0,63,417.639864
-71.0,72,417.911086
-70.0,71,419.158972
-72.0,73,419.760425
-91.0,92,420.130175
-62.0,63,421.346524
-63.0,64,421.583728
-63.0,64,421.821787
-64.0,65,422.065717
-89.0,90,423.416793
-64.0,65,423.658282
-63.0,64,423.897403
-83.0,84,425.601563
-71.0,72,425.87107
-88.0,89,426.210472
-62.0,63,426.446377
-62.0,63,427.694076
-72.0,73,427.967856
-75.0,76,428.257442
-87.0,88,429.58278
-85.0,86,430.30864
-118.0,119,430.772452
-72.0,73,432.065087
-71.0,72,432.361243
-61.0,62,432.596314
-62.0,63,432.831949
-82.0,83,434.133162
-76.0,77,434.43382
-70.0,71,435.024204
-70.0,71,436.292293
-71.0,72,436.575327
-92.0,93,436.92161
-63.0,64,438.146997
-71.0,72,438.433986
-71.0,72,438.711221
-63.0,64,438.947056
-77.0,78,440.233219
-83.0,84,440.875472
-70.0,71,441.143741
-60.0,61,442.372868
-88.0,89,442.718011
-74.0,75,442.998961
-71.0,72,443.265075
-70.0,71,444.530273
-75.0,76,444.81174
-70.0,71,445.398219
-63.0,64,446.630576
-71.0,72,446.900346
-62.0,63,447.138011
-63.0,64,447.403011
-88.0,89,448.725221
-113.0,114,449.148729
-71.0,72,449.419912
-88.0,89,451.052258
-99.0,100,451.447064
-71.0,72,451.721683
-70.0,71,452.976542
-64.0,65,453.218951
-70.0,71,453.494158
-75.0,76,454.785733
-85.0,86,455.10716
-82.0,83,455.800822
-500.0,500,459.697241
-70.0,71,459.961882
-61.0,62,461.508346
-63.0,64,461.756261
-71.0,72,462.02737
-71.0,72,462.299595
-70.0,71,463.576071
-92.0,93,463.937762
-80.0,81,464.248743
-62.0,63,465.470682
-65.0,66,466.08078
-72.0,73,466.359211
-71.0,72,467.632898
-62.0,63,467.87675
-85.0,86,468.204698
-95.0,96,468.567376
-72.0,73,469.811757
-71.0,72,470.081831
-74.0,75,470.36726
-91.0,92,472.015193
-94.0,95,472.371388
-63.0,64,472.657202
-70.0,71,473.910363
-69.0,70,474.191382
-71.0,72,474.467014
-71.0,72,474.740182
-71.0,72,475.996356
-70.0,71,476.581165
-219.0,220,478.420989
-71.0,72,478.689098
-63.0,64,478.931129
-71.0,72,480.194382
-70.0,71,480.471397
-71.0,72,480.756533
-84.0,85,482.469275
-93.0,94,482.850944
-87.0,88,483.195519
-72.0,73,484.488785
-71.0,72,484.76458
-71.0,72,485.034263
-73.0,74,485.324355
-69.0,70,486.60989
-80.0,81,487.253968
-83.0,84,487.60389
-187.0,188,489.363269
-62.0,63,489.610106
-71.0,72,490.891879
-70.0,71,491.175049
-80.0,81,491.88238
-71.0,72,492.161314
-62.0,63,493.467124
-77.0,78,493.763775
-70.0,71,494.041126
-86.0,87,495.387654
-71.0,72,495.672679
-70.0,71,495.963181
-71.0,72,496.252835
-63.0,64,497.839268
-82.0,83,498.169152
-70.0,71,498.451424
-92.0,93,499.899031
-92.0,93,500.260354
-62.0,63,500.52103
-63.0,64,501.838217
-70.0,71,502.115269
-74.0,75,502.935034
-92.0,93,503.313805
-64.0,65,504.604102
-70.0,71,504.870484
-164.0,165,506.502381
-82.0,83,506.818556
-62.0,63,507.056891
-88.0,89,508.794425
-93.0,94,509.140687
-71.0,72,509.416374
-69.0,70,509.687915
-96.0,97,511.049981
-70.0,71,511.314053
-64.0,65,511.563447
-70.0,71,512.830145
-71.0,72,513.588423
-62.0,63,513.831918
-70.0,71,514.101958
-77.0,78,515.420253
-63.0,64,515.675412
-94.0,95,516.037738
-70.0,71,517.295171
-71.0,72,517.576929
-83.0,84,517.893865
-71.0,72,519.567539
-70.0,71,519.842408
-69.0,70,520.104964
-76.0,77,520.391667
-74.0,75,521.681345
-70.0,71,521.943536
-92.0,93,522.289204
-63.0,64,523.57272
-97.0,98,524.260305
-62.0,63,524.508912
-71.0,72,525.777546
-77.0,78,526.0654
-70.0,71,526.33629
-71.0,72,526.610023
-83.0,84,527.914181
-70.0,71,528.199496
-63.0,64,528.784792
-118.0,119,530.235252
-77.0,78,530.531579
-62.0,63,530.777781
-70.0,71,532.040246
-86.0,87,532.368446
-81.0,82,532.678169
-88.0,89,534.022376
-93.0,94,534.818222
-70.0,71,535.096707
