#{"t_start": 1611507036.5141454, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,7.302499
-384.0,385,14.134313
-304.0,305,16.527993
-278.0,279,19.426185
-122.0,123,21.236285
-227.0,228,23.391548
-153.0,154,24.350046
-224.0,225,26.477618
-135.0,136,28.314821
-90.0,91,28.61335
-122.0,123,29.455761
-110.0,111,31.190337
-97.0,98,31.519643
-127.0,128,33.343099
-92.0,93,33.645966
-114.0,115,35.44344
-100.0,101,36.269842
-80.0,81,36.546562
-82.0,83,38.206918
-166.0,167,38.762634
-83.0,84,40.413324
-254.0,255,43.147317
-267.0,268,45.429119
-98.0,99,45.766393
-157.0,158,48.173531
-77.0,78,48.435738
-100.0,101,48.788354
-84.0,85,50.448375
-99.0,100,50.790286
-91.0,92,51.097863
-76.0,77,52.759359
-91.0,92,53.488418
-86.0,87,53.781335
-77.0,78,55.410716
-77.0,78,55.675257
-97.0,98,55.999722
-88.0,89,57.663912
-80.0,81,57.929821
-84.0,85,58.211855
-89.0,90,60.317838
-96.0,97,60.643055
-102.0,103,62.340432
-77.0,78,62.596427
-98.0,99,62.926586
-80.0,81,64.554582
-76.0,77,64.814829
-84.0,85,65.573876
-82.0,83,67.240253
-123.0,124,67.645198
-76.0,77,67.902607
-83.0,84,69.536428
-109.0,110,69.903
-74.0,75,70.149501
-76.0,77,72.265785
-89.0,90,72.564553
-96.0,97,72.890353
-71.0,72,74.49813
-71.0,72,74.735181
-78.0,79,74.998636
-70.0,71,76.583978
-78.0,79,77.317046
-90.0,91,77.622108
-127.0,128,79.428702
-78.0,79,79.692187
-70.0,71,79.932342
-76.0,77,81.551809
-73.0,74,81.795866
-142.0,143,82.740502
-80.0,81,84.380846
-74.0,75,84.628527
-62.0,63,84.837189
-90.0,91,86.489806
-104.0,105,86.83942
-86.0,87,87.131455
-75.0,76,89.249414
-76.0,77,89.502167
-63.0,64,89.722456
-79.0,80,91.369565
-70.0,71,91.603282
-92.0,93,91.910382
-93.0,94,93.590767
-80.0,81,93.85849
-71.0,72,94.569026
-74.0,75,94.818606
-93.0,94,96.529338
-77.0,78,96.788003
-72.0,73,97.029643
-68.0,69,98.643627
-61.0,62,98.847116
-75.0,76,99.101158
-74.0,75,100.722901
-79.0,80,101.530928
-75.0,76,101.783002
-134.0,135,103.617572
-71.0,72,103.855757
-90.0,91,104.169346
-80.0,81,105.812897
-100.0,101,106.147205
-75.0,76,106.846332
-80.0,81,108.491203
-78.0,79,108.755342
-82.0,83,109.030693
-78.0,79,110.657288
-72.0,73,110.897559
-63.0,64,111.106892
-62.0,63,111.318738
-83.0,84,113.413958
-95.0,96,113.728875
-78.0,79,113.987385
-77.0,78,115.608722
-70.0,71,115.844529
-79.0,80,116.108207
-75.0,76,117.734124
-122.0,123,118.700125
-107.0,108,119.058764
-70.0,71,120.670455
-74.0,75,120.922273
-69.0,70,121.156341
-71.0,72,122.83707
-73.0,74,123.086904
-62.0,63,123.297547
-76.0,77,124.007251
-80.0,81,125.695665
-82.0,83,125.976654
-79.0,80,126.245693
-88.0,89,127.930728
-71.0,72,128.165879
-72.0,73,128.409644
-75.0,76,130.05846
-72.0,73,130.747534
-69.0,70,130.984471
-80.0,81,131.256266
-70.0,71,132.915178
-69.0,70,133.144713
-72.0,73,133.38377
-81.0,82,135.01825
-91.0,92,135.326152
-77.0,78,136.121335
-87.0,88,137.781047
-71.0,72,138.016337
-80.0,81,138.281521
-90.0,91,139.950734
-95.0,96,140.268885
-77.0,78,140.52677
-91.0,92,142.19595
-80.0,81,142.938422
-75.0,76,143.192249
-88.0,89,144.860529
-92.0,93,145.164458
-71.0,72,145.399342
-76.0,77,145.654544
-88.0,89,147.297077
-72.0,73,147.987531
-84.0,85,148.270614
-76.0,77,149.937876
-76.0,77,150.196585
-71.0,72,150.438437
-70.0,71,152.086763
-81.0,82,152.363343
-72.0,73,152.608212
-84.0,85,154.794366
-88.0,89,155.09864
-70.0,71,155.344797
-84.0,85,156.994981
-108.0,109,157.357439
-72.0,73,157.599148
-82.0,83,159.2515
-80.0,81,159.518767
-70.0,71,160.212475
-96.0,97,161.955881
-78.0,79,162.219288
-76.0,77,162.475802
-85.0,86,162.761834
-242.0,243,164.992266
-89.0,90,167.147884
-63.0,64,167.364099
-71.0,72,167.608173
-70.0,71,169.233325
-72.0,73,169.475573
-82.0,83,169.752425
-117.0,118,171.516464
-78.0,79,172.259509
-77.0,78,172.524664
-74.0,75,174.154483
-98.0,99,174.479362
-90.0,91,174.778379
-64.0,65,176.361901
-93.0,94,176.668737
-81.0,82,176.937705
-78.0,79,179.080356
-78.0,79,179.338753
-73.0,74,179.581751
-92.0,93,181.261179
-81.0,82,181.530966
-101.0,102,181.867953
-75.0,76,183.524093
-92.0,93,184.277186
-77.0,78,184.540373
-76.0,77,184.805294
-71.0,72,186.427572
-74.0,75,186.674572
-83.0,84,186.950841
-76.0,77,188.567724
-74.0,75,188.814316
-93.0,94,189.568902
-80.0,81,191.228097
-90.0,91,191.528731
-63.0,64,191.738786
-83.0,84,193.407141
-72.0,73,193.647152
-72.0,73,193.88618
-89.0,90,195.581562
-71.0,72,196.327544
-79.0,80,196.592158
-76.0,77,196.848735
-63.0,64,198.430561
-70.0,71,198.667148
-78.0,79,198.928127
-72.0,73,200.54865
-73.0,74,200.799222
-63.0,64,201.463042
-71.0,72,201.705441
-77.0,78,203.345057
-69.0,70,203.578006
-89.0,90,203.877386
-74.0,75,205.513034
-72.0,73,205.754936
-108.0,109,206.116197
-82.0,83,208.236362
-73.0,74,208.492454
-63.0,64,208.709123
-71.0,72,208.950388
-68.0,69,210.556409
-70.0,71,210.794445
-70.0,71,211.032419
-77.0,78,212.686187
-88.0,89,212.983409
-71.0,72,213.659731
-73.0,74,213.907872
-70.0,71,215.528285
-77.0,78,215.783507
-105.0,106,216.132904
-73.0,74,217.7485
-79.0,80,218.010164
-64.0,65,218.223264
-71.0,72,220.373677
-71.0,72,220.62119
-81.0,82,220.894258
-82.0,83,222.564976
-93.0,94,222.882548
-92.0,93,223.237395
-94.0,95,224.944791
-78.0,79,225.653478
-63.0,64,225.869321
-87.0,88,227.525421
-76.0,77,227.78293
-70.0,71,228.015387
-74.0,75,228.263738
-83.0,84,229.928674
-75.0,76,230.1819
-103.0,104,230.953861
-70.0,71,232.587415
-63.0,64,232.804221
-72.0,73,233.046406
-71.0,72,234.643767
-90.0,91,234.949771
-91.0,92,235.253448
-99.0,100,236.945026
-62.0,63,237.597475
-63.0,64,237.815355
-71.0,72,238.055479
-87.0,88,239.707864
-99.0,100,240.041963
-76.0,77,240.295819
-75.0,76,241.941159
-63.0,64,242.154565
-89.0,90,242.994202
-80.0,81,244.635901
-72.0,73,244.882182
-63.0,64,245.094796
-76.0,77,246.717822
-78.0,79,246.984886
-71.0,72,247.223783
-86.0,87,247.512079
-70.0,71,249.60003
-71.0,72,249.845939
-71.0,72,250.100926
-89.0,90,251.769563
-85.0,86,252.064448
-76.0,77,252.322183
-69.0,70,253.931817
-70.0,71,254.172339
-73.0,74,254.850164
-70.0,71,255.100703
-62.0,63,256.689958
-97.0,98,257.024463
-80.0,81,257.295456
-63.0,64,258.888232
-79.0,80,259.164227
-92.0,93,259.476811
-63.0,64,261.48195
-109.0,110,261.855155
-87.0,88,262.158409
-62.0,63,263.716496
-89.0,90,264.019895
-62.0,63,264.238298
-82.0,83,264.517825
-91.0,92,266.201494
-97.0,98,266.931925
-89.0,90,268.629816
-76.0,77,268.887346
-70.0,71,269.132097
-71.0,72,269.372561
-91.0,92,271.04336
-71.0,72,271.289855
-176.0,177,273.682148
-63.0,64,273.897007
-64.0,65,274.113636
-87.0,88,275.781071
-114.0,115,276.166283
-71.0,72,276.412916
-77.0,78,278.04969
-76.0,77,278.7342
-82.0,83,279.010544
-83.0,84,280.673747
-78.0,79,280.937804
-81.0,82,281.210624
-70.0,71,281.449743
-63.0,64,283.031314
-89.0,90,283.349647
-89.0,90,284.070916
-87.0,88,285.761326
-78.0,79,286.039755
-75.0,76,286.298653
-62.0,63,287.887335
-83.0,84,288.166923
-82.0,83,288.448311
-103.0,104,290.158089
-62.0,63,290.822815
-92.0,93,291.138094
-79.0,80,292.808065
-77.0,78,293.073558
-93.0,94,293.393107
-64.0,65,294.9782
-219.0,220,296.644931
-70.0,71,298.253717
-81.0,82,298.532774
-63.0,64,298.745754
-82.0,83,300.392674
-77.0,78,300.654648
-71.0,72,300.89199
-76.0,77,301.14625
-71.0,72,303.18671
-63.0,64,303.403802
-70.0,71,303.650882
-78.0,79,305.291207
-63.0,64,305.50477
-220.0,221,307.639318
-93.0,94,308.352346
-85.0,86,308.646866
-70.0,71,310.254441
-79.0,80,310.521063
-70.0,71,310.762823
-88.0,89,312.452191
-64.0,65,312.677299
-84.0,85,312.963801
-85.0,86,315.057773
-75.0,76,315.308413
-71.0,72,315.54537
-63.0,64,315.761696
-62.0,63,317.365413
-71.0,72,317.603126
-70.0,71,317.842256
-73.0,74,318.089669
-62.0,63,319.664062
-70.0,71,320.351302
-63.0,64,320.57434
-71.0,72,320.821272
-63.0,64,322.40946
-73.0,74,322.651898
-92.0,93,322.962825
-77.0,78,324.584681
-62.0,63,324.79851
-63.0,64,325.012167
-82.0,83,327.132491
-77.0,78,327.395209
-70.0,71,327.630777
-73.0,74,327.881743
-74.0,75,329.515807
-75.0,76,329.767902
-71.0,72,330.011043
-71.0,72,331.614675
-80.0,81,332.291477
-62.0,63,332.510682
-63.0,64,332.72234
-81.0,82,334.36662
-63.0,64,334.578985
-89.0,90,334.878594
-65.0,66,336.484154
-76.0,77,336.738787
-71.0,72,336.980905
-70.0,71,337.627289
-90.0,91,339.302088
-71.0,72,339.54119
-70.0,71,339.776323
-71.0,72,341.384328
-76.0,77,341.635168
-84.0,85,341.91379
