#{"t_start": 1611606200.0867887, "env_id": "HopperBulletEnv-v0"}
r,l,t
22.231792,8,4.571856
41.574206,27,4.898544
24.709123,11,5.033745
21.3885,8,5.132577
23.779476,15,5.306293
17.361194,7,5.385718
29.699076,20,5.618062
34.903706,19,5.840624
27.236498,13,5.997337
17.10465,5,6.056655
28.810232,21,6.303616
21.577509,13,6.454347
28.757573,16,6.64005
29.370403,18,6.849755
23.761709,11,6.980136
37.48594,21,7.231113
38.344349,25,7.52783
29.026469,20,7.758914
24.451459,18,7.970289
26.656013,16,8.155351
32.922729,20,8.397723
38.348067,29,8.746534
25.551674,17,8.977867
25.189928,17,9.182943
36.284801,25,9.486892
33.986808,24,9.784631
25.010453,12,9.930419
27.779717,13,10.086437
24.994304,12,10.233546
31.045393,17,10.432744
27.655644,15,18.565509
34.394861,27,18.883677
32.400222,20,19.124531
25.577402,16,19.313255
16.117774,5,19.37683
39.617562,24,19.657337
31.349352,15,19.83181
33.612888,19,20.26129
23.223047,10,20.386521
24.098808,10,20.505574
25.123463,11,20.635968
15.453995,11,20.765609
46.962877,35,21.176582
26.089203,17,21.383757
27.885156,13,21.538352
25.879317,18,21.745929
26.930785,13,21.903367
22.02034,9,22.02001
24.698656,12,22.169987
30.082618,17,22.373425
23.234245,9,22.482565
32.856803,24,22.757881
28.425282,16,22.946796
22.958522,12,23.089789
43.586864,30,23.447177
32.088656,17,23.645308
28.981221,15,23.818737
21.047236,9,23.9235
24.341855,9,24.031797
25.26436,14,24.19136
26.250891,12,24.328674
26.990514,13,24.484292
27.244746,13,24.631255
22.969664,10,24.745291
19.466634,10,32.814927
21.23641,9,32.921723
22.238568,9,33.031309
27.125773,18,33.245008
22.773092,13,33.399132
19.207939,6,33.469855
20.066282,7,33.559709
26.047159,12,33.700764
19.908053,8,33.794839
21.170268,7,33.876333
26.409398,14,34.050774
35.041013,19,34.277932
37.505457,23,34.559152
38.286247,22,34.818744
26.650408,15,34.995775
31.258293,21,35.246542
21.385118,11,35.382352
