#{"t_start": 1611246913.465708, "env_id": "CartPole-v1"}
r,l,t
11.0,11,2.465923
18.0,18,2.496466
10.0,10,2.697866
15.0,15,2.727319
11.0,11,2.924947
12.0,12,2.945577
32.0,32,3.186975
23.0,23,3.416578
14.0,14,3.44727
60.0,60,3.933037
143.0,143,4.899017
100.0,100,5.806978
130.0,130,6.761287
119.0,119,7.536042
125.0,125,8.512997
112.0,112,9.440548
111.0,111,10.197105
110.0,110,11.145471
65.0,65,11.636965
147.0,147,13.518695
152.0,152,14.708933
152.0,152,15.876726
500.0,500,19.581082
261.0,261,21.75992
212.0,212,25.475405
152.0,152,26.674122
141.0,141,27.686542
191.0,191,29.145375
275.0,275,31.323862
212.0,212,32.801059
160.0,160,36.849799
500.0,500,40.643569
500.0,500,44.418382
500.0,500,51.086172
500.0,500,54.959526
500.0,500,61.850493
500.0,500,65.486917
500.0,500,69.369206
500.0,500,76.016926
500.0,500,79.873429
500.0,500,86.785383
500.0,500,90.386005
500.0,500,94.29425
500.0,500,101.033904
500.0,500,104.660674
500.0,500,111.610283
500.0,500,115.180949
500.0,500,119.079542
