#{"t_start": 1611246913.4643555, "env_id": "CartPole-v1"}
r,l,t
45.0,45,2.713352
16.0,16,2.740969
28.0,28,2.96788
42.0,42,3.414764
18.0,18,3.454021
72.0,72,3.964164
110.0,110,4.868151
129.0,129,5.827427
134.0,134,6.788739
119.0,119,7.734487
37.0,37,8.013966
116.0,116,8.964024
163.0,163,10.169075
92.0,92,10.902397
130.0,130,12.807076
151.0,151,13.763343
148.0,148,14.956217
222.0,222,16.618114
403.0,403,19.587824
315.0,315,22.061725
232.0,232,26.172516
186.0,186,27.447389
228.0,228,29.158491
270.0,270,31.328741
146.0,146,32.314838
255.0,255,37.094676
500.0,500,40.871609
500.0,500,44.648414
500.0,500,51.329583
500.0,500,55.194236
500.0,500,62.093238
500.0,500,65.734535
500.0,500,69.607201
500.0,500,76.240285
500.0,500,80.107307
500.0,500,87.024005
500.0,500,90.613787
500.0,500,94.532289
500.0,500,101.280848
500.0,500,104.902696
500.0,500,111.841571
500.0,500,115.426658
500.0,500,119.307602
