#{"t_start": 1611492701.2476864, "env_id": "CartPole-v1"}
r,l,t
11.0,11,4.19891
30.0,30,4.388658
29.0,29,4.56681
19.0,19,4.587569
60.0,60,5.022314
31.0,31,5.215163
12.0,12,5.231047
15.0,15,5.389948
30.0,30,5.543855
111.0,111,6.026113
69.0,69,6.489041
248.0,248,7.635393
161.0,161,8.457987
286.0,286,10.047431
59.0,59,10.438721
170.0,170,12.537263
137.0,137,13.446407
207.0,207,14.425367
134.0,134,15.052966
123.0,123,15.717379
282.0,282,17.108212
139.0,139,17.750889
262.0,262,20.459783
500.0,500,23.086809
500.0,500,25.899384
500.0,500,30.506994
500.0,500,33.184579
500.0,500,38.232589
500.0,500,40.599348
500.0,500,43.464624
500.0,500,48.469718
500.0,500,50.985152
500.0,500,55.968967
500.0,500,58.526209
500.0,500,61.425265
500.0,500,66.177447
500.0,500,68.90826
500.0,500,73.892367
500.0,500,76.59859
500.0,500,79.209524
500.0,500,83.875374
500.0,500,86.477868
