#{"t_start": 1611480697.6379895, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.051292
-299.0,300,8.555041
-467.0,468,14.159428
-243.0,244,16.113791
-120.0,121,17.612037
-119.0,120,18.057028
-129.0,130,20.414687
-147.0,148,20.98179
-118.0,119,22.473236
-89.0,90,22.830827
-138.0,139,24.417765
-119.0,120,24.876405
-113.0,114,26.770021
-111.0,112,27.198833
-147.0,148,28.833116
-137.0,138,29.357534
-109.0,110,30.803542
-115.0,116,31.629164
-109.0,110,33.088439
-110.0,111,33.573633
-99.0,100,33.958515
-95.0,96,35.347199
-80.0,81,35.660833
-113.0,114,37.799918
-83.0,84,38.124567
-112.0,113,38.598667
-100.0,101,40.094681
-82.0,83,40.599169
-91.0,92,41.16828
-93.0,94,43.023946
-102.0,103,43.429494
-85.0,86,43.802987
-87.0,88,45.138995
-77.0,78,45.439353
-64.0,65,45.687241
-87.0,88,47.061166
-62.0,63,47.302124
-106.0,107,48.091562
-91.0,92,49.478053
-88.0,89,49.818838
-102.0,103,51.225084
-94.0,95,51.591891
-115.0,116,52.039684
-81.0,82,53.841737
-78.0,79,54.14516
-161.0,162,55.757215
-104.0,105,56.166295
-91.0,92,56.522629
-86.0,87,57.85813
-92.0,93,58.571672
-94.0,95,58.977992
-90.0,91,60.344478
-91.0,92,60.702269
-78.0,79,61.016189
-118.0,119,62.520617
-101.0,102,62.922913
-84.0,85,64.893475
-86.0,87,65.24788
-91.0,92,65.602558
-75.0,76,66.954348
-76.0,77,67.268653
-77.0,78,67.584311
-79.0,80,68.975319
-80.0,81,69.745467
-73.0,74,70.157783
-185.0,186,72.301061
-88.0,89,72.693983
-93.0,94,74.131092
-83.0,84,74.468448
-83.0,84,75.142133
-119.0,120,76.642786
-69.0,70,76.916787
-129.0,130,78.448951
-62.0,63,78.693837
-93.0,94,79.105878
-71.0,72,79.404402
-80.0,81,81.139997
-81.0,82,81.480239
-80.0,81,81.798259
-78.0,79,83.136065
-74.0,75,83.437583
-76.0,77,83.724671
-141.0,142,85.381086
-73.0,74,85.662122
-74.0,75,86.313207
-82.0,83,87.673196
-77.0,78,87.973089
-74.0,75,88.260337
-135.0,136,89.83222
-77.0,78,90.12353
-98.0,99,91.530348
-69.0,70,92.154984
-80.0,81,92.480252
-89.0,90,92.823406
-85.0,86,94.153777
-75.0,76,94.479484
-101.0,102,95.874712
-72.0,73,96.149488
-86.0,87,96.845977
-76.0,77,97.147984
-63.0,64,98.406009
-89.0,90,98.76505
-116.0,117,100.554825
-119.0,120,101.205785
-87.0,88,101.538346
-71.0,72,103.166071
-75.0,76,103.465114
-83.0,84,103.788933
-150.0,151,105.464225
-82.0,83,105.814471
-75.0,76,106.095503
-82.0,83,107.415651
-88.0,89,108.179615
-124.0,125,109.687853
-88.0,89,110.036056
-81.0,82,110.35547
-83.0,84,111.692517
-142.0,143,112.249117
-76.0,77,112.911719
-81.0,82,114.238837
-76.0,77,114.553065
-73.0,74,114.84222
-88.0,89,116.181545
-89.0,90,116.524105
-72.0,73,116.796606
-78.0,79,118.127638
-78.0,79,118.873272
-87.0,88,119.228449
-85.0,86,120.60257
-79.0,80,120.909706
-73.0,74,121.199233
-80.0,81,122.522568
