#{"t_start": 1611480697.6568596, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.035094
-500.0,500,9.368538
-212.0,213,11.651137
-163.0,164,15.57156
-284.0,285,17.700332
-197.0,198,19.521571
-163.0,164,20.938198
-135.0,136,22.495884
-283.0,284,24.646717
-92.0,93,25.437754
-138.0,139,26.993172
-118.0,119,27.459869
-120.0,121,28.976776
-217.0,218,31.204858
-143.0,144,31.778202
-165.0,166,33.491511
-98.0,99,33.884451
-102.0,103,35.298193
-136.0,137,36.497056
-99.0,100,37.914733
-107.0,108,38.333803
-105.0,106,39.867321
-87.0,88,40.304786
-96.0,97,40.89321
-99.0,100,42.870007
-90.0,91,43.230783
-113.0,114,43.717668
-89.0,90,45.061465
-98.0,99,45.440879
-135.0,136,46.99722
-96.0,97,47.743778
-79.0,80,48.05555
-113.0,114,49.52437
-82.0,83,49.845278
-89.0,90,50.191444
-95.0,96,51.570973
-111.0,112,52.003527
-122.0,123,53.962716
-98.0,99,54.348173
-94.0,95,55.697877
-129.0,130,56.204195
-64.0,65,56.4559
-89.0,90,57.80262
-111.0,112,58.588741
-69.0,70,58.89854
-78.0,79,60.202645
-106.0,107,60.6339
-84.0,85,60.971496
-104.0,105,62.420992
-160.0,161,63.600692
-85.0,86,65.033743
-92.0,93,65.404661
-92.0,93,66.818788
-72.0,73,67.116091
-71.0,72,67.406386
-73.0,74,67.701039
-83.0,84,69.14423
-88.0,89,69.950143
-75.0,76,70.481571
-76.0,77,72.037169
-81.0,82,72.377316
-74.0,75,72.70818
-83.0,84,74.10256
-77.0,78,74.416741
-139.0,140,75.318004
-75.0,76,76.63761
-94.0,95,77.010916
-101.0,102,78.431951
-69.0,70,78.704335
-75.0,76,79.043874
-84.0,85,79.395133
-62.0,63,80.697582
-222.0,223,82.988913
-75.0,76,83.29319
-218.0,219,85.224681
-97.0,98,85.606711
-95.0,96,86.345749
-89.0,90,87.725041
-62.0,63,87.967922
-70.0,71,88.239329
-88.0,89,89.632096
-76.0,77,89.923842
-107.0,108,90.341306
-77.0,78,92.014349
-83.0,84,92.34233
-79.0,80,92.657975
-73.0,74,93.945237
-77.0,78,94.269549
-74.0,75,94.564419
-75.0,76,95.857777
-65.0,66,96.106369
-87.0,88,96.805984
-76.0,77,97.107577
-74.0,75,98.40976
-86.0,87,98.755607
-98.0,99,99.164992
-75.0,76,100.903013
-89.0,90,101.30103
-62.0,63,101.541097
-62.0,63,103.132346
-93.0,94,103.501442
-69.0,70,103.772017
-151.0,152,105.452244
-72.0,73,105.761796
-73.0,74,106.037575
-79.0,80,107.345182
-71.0,72,108.04046
-70.0,71,108.318573
-61.0,62,109.58392
-99.0,100,109.974411
-78.0,79,110.278107
-71.0,72,110.562758
-98.0,99,111.95542
-69.0,70,112.227836
-70.0,71,112.867528
-105.0,106,114.285488
-59.0,60,114.536157
-84.0,85,114.866162
-87.0,88,116.202961
-97.0,98,116.574137
-69.0,70,116.842299
-64.0,65,118.114824
-99.0,100,118.943077
-95.0,96,119.327394
-89.0,90,120.714764
-77.0,78,121.016695
-76.0,77,121.318857
-72.0,73,122.605998
-93.0,94,122.966453
-75.0,76,123.643797
-79.0,80,124.999687
-77.0,78,125.296593
-75.0,76,125.5847
-88.0,89,126.920127
-75.0,76,127.223358
-76.0,77,127.516699
-102.0,103,128.947448
-104.0,105,129.762915
-70.0,71,130.043754
-78.0,79,131.660485
-84.0,85,132.183795
-122.0,123,132.70113
-93.0,94,134.090082
-90.0,91,134.928681
-93.0,94,135.304162
-89.0,90,136.642279
-72.0,73,136.914716
-73.0,74,137.208264
-87.0,88,138.574019
-72.0,73,138.857765
-94.0,95,139.23698
-76.0,77,140.959789
-69.0,70,141.247426
-74.0,75,141.536165
-71.0,72,142.831228
-74.0,75,143.127498
-86.0,87,143.47693
-77.0,78,144.781998
-75.0,76,145.102833
-76.0,77,145.861183
-85.0,86,146.192879
-113.0,114,147.644538
-74.0,75,147.930605
-123.0,124,149.426813
-76.0,77,149.718407
-71.0,72,150.019486
-86.0,87,151.820209
-69.0,70,152.091532
-71.0,72,152.378265
-87.0,88,152.734766
-85.0,86,154.104625
