#{"t_start": 1611480697.6443634, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.045824
-387.0,388,8.882483
-291.0,292,11.540966
-204.0,205,15.611887
-202.0,203,17.440299
-181.0,182,18.11567
-370.0,371,22.431647
-105.0,106,22.852059
-153.0,154,24.495998
-146.0,147,25.491068
-150.0,151,27.09096
-134.0,135,28.679951
-121.0,122,29.139522
-115.0,116,29.590785
-107.0,108,31.394829
-132.0,133,31.92509
-126.0,127,33.477193
-91.0,92,33.852835
-110.0,111,35.298077
-98.0,99,35.682522
-144.0,145,37.941214
-72.0,73,38.224002
-80.0,81,38.566842
-85.0,86,40.003678
-84.0,85,40.492416
-81.0,82,40.978538
-136.0,137,43.079303
-111.0,112,43.533643
-100.0,101,44.946217
-80.0,81,45.258538
-64.0,65,45.505302
-98.0,99,46.916466
-70.0,71,47.193928
-88.0,89,47.910696
-157.0,158,49.550512
-94.0,95,49.917172
-77.0,78,51.227913
-103.0,104,51.628007
-80.0,81,51.942532
-103.0,104,53.82796
-155.0,156,54.43068
-97.0,98,55.79249
-76.0,77,56.096732
-96.0,97,56.471262
-73.0,74,57.757173
-85.0,86,58.444904
-75.0,76,58.76758
-101.0,102,60.166706
-94.0,95,60.553293
-84.0,85,60.882173
-78.0,79,62.240178
-129.0,130,62.74798
-76.0,77,63.595917
-80.0,81,65.009758
-79.0,80,65.33089
-74.0,75,65.61965
-79.0,80,66.989022
-83.0,84,67.334776
-86.0,87,67.681538
-98.0,99,69.183635
-71.0,72,69.913042
-73.0,74,70.409142
-242.0,243,72.706039
-110.0,111,74.214965
-136.0,137,74.745145
-93.0,94,76.498877
-88.0,89,76.843486
-75.0,76,77.144087
-71.0,72,78.447099
-84.0,85,78.781115
-71.0,72,79.104306
-61.0,62,79.363284
-178.0,179,81.501036
-74.0,75,81.796575
-81.0,82,83.145196
-76.0,77,83.454079
-79.0,80,83.753205
-69.0,70,85.124884
-84.0,85,85.459292
-71.0,72,86.094759
-99.0,100,87.522986
-77.0,78,87.819121
-79.0,80,88.12921
-71.0,72,88.410303
-92.0,93,89.811432
-81.0,82,90.117924
-94.0,95,91.509403
-89.0,90,92.215656
-75.0,76,92.516572
-82.0,83,93.840486
-87.0,88,94.18219
-108.0,109,94.625432
-71.0,72,95.902356
-82.0,83,96.216307
-75.0,76,96.87099
-88.0,89,98.23178
-207.0,208,99.050715
-91.0,92,100.845656
-62.0,63,101.169904
-81.0,82,101.480257
-78.0,79,103.132349
