#{"t_start": 1611480697.6392598, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.050259
-348.0,349,8.738069
-429.0,430,14.201582
-184.0,185,15.923855
-163.0,164,17.592602
-134.0,135,18.093922
-104.0,105,19.572572
-140.0,141,20.894811
-138.0,139,22.463598
-122.0,123,22.948477
-115.0,116,24.447234
-136.0,137,25.403379
-146.0,147,26.989367
-123.0,124,27.47568
-125.0,126,29.011701
-121.0,122,29.485277
-104.0,105,31.275897
-101.0,102,31.682269
-98.0,99,33.095139
-95.0,96,33.517335
-85.0,86,33.853328
-120.0,121,35.337733
-107.0,108,36.423139
-93.0,94,37.820217
-87.0,88,38.159335
-106.0,107,38.609715
-71.0,72,39.985044
-96.0,97,40.530783
-90.0,91,41.092039
-88.0,89,42.948177
-80.0,81,43.270732
-96.0,97,43.692502
-88.0,89,45.031479
-102.0,103,45.427019
-89.0,90,45.783379
-90.0,91,47.156857
-93.0,94,47.892388
-87.0,88,49.267182
-104.0,105,49.663684
-80.0,81,49.978629
-69.0,70,51.259559
-74.0,75,51.548507
-92.0,93,51.90981
-76.0,77,52.618143
-78.0,79,53.995289
-81.0,82,54.313034
-74.0,75,54.598154
-124.0,125,56.07466
-94.0,95,56.441647
-63.0,64,57.688808
-95.0,96,58.067295
-84.0,85,58.77209
-83.0,84,60.101349
-91.0,92,60.476777
-91.0,92,60.831734
-88.0,89,62.229268
-91.0,92,62.587477
-81.0,82,62.910205
-70.0,71,64.826271
-87.0,88,65.185246
-95.0,96,65.555581
-118.0,119,67.083976
-83.0,84,67.422091
-81.0,82,67.747853
-77.0,78,69.168155
-76.0,77,69.917546
-88.0,89,70.518222
-70.0,71,72.041703
-73.0,74,72.343948
-86.0,87,72.728407
-80.0,81,74.109885
-75.0,76,74.417112
-88.0,89,75.109438
-93.0,94,76.511619
-74.0,75,76.800811
-145.0,146,77.377891
-73.0,74,78.685
-102.0,103,79.135506
-246.0,247,81.553458
-79.0,80,81.866395
-84.0,85,83.23705
-74.0,75,83.526128
-81.0,82,83.831369
-76.0,77,85.232599
-89.0,90,85.585334
-61.0,62,86.182697
-106.0,107,87.637908
-73.0,74,87.920018
-97.0,98,88.298464
-104.0,105,89.751147
