#{"t_start": 1611480697.6556833, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.036067
-420.0,421,9.013112
-347.0,348,14.147243
-233.0,234,16.063636
-162.0,163,17.716343
-164.0,165,19.409852
-125.0,126,20.680876
-151.0,152,22.290016
-128.0,129,22.807097
-143.0,144,24.413549
-136.0,137,25.362106
-101.0,102,26.784063
-101.0,102,27.175015
-142.0,143,28.789366
-110.0,111,29.210967
-125.0,126,30.721121
-101.0,102,31.49227
-105.0,106,31.906835
-124.0,125,33.451324
-94.0,95,33.838601
-90.0,91,35.207423
-98.0,99,35.591956
-99.0,100,36.651815
-110.0,111,38.104584
-165.0,166,39.872229
-79.0,80,40.266096
-99.0,100,40.867881
-97.0,98,42.847767
-89.0,90,43.204107
-111.0,112,43.685269
-93.0,94,45.043221
-103.0,104,45.441772
-101.0,102,46.865092
-93.0,94,47.229092
-110.0,111,48.033387
-101.0,102,49.458153
-93.0,94,49.818506
-103.0,104,51.229558
-68.0,69,51.495308
-100.0,101,51.887393
-82.0,83,53.68557
-77.0,78,53.992131
-74.0,75,54.282178
-79.0,80,54.587341
-85.0,86,55.91322
-77.0,78,56.213478
-83.0,84,56.537572
-94.0,95,57.911299
-82.0,83,58.578135
-93.0,94,58.983211
-93.0,94,60.363106
-84.0,85,60.690181
-98.0,99,62.123905
-87.0,88,62.465746
-83.0,84,62.796344
-96.0,97,64.815319
-75.0,76,65.128334
-96.0,97,65.502046
-92.0,93,66.919102
-68.0,69,67.200976
-115.0,116,67.667332
-500.0,500,72.745152
-79.0,80,74.11899
-78.0,79,74.436862
-63.0,64,74.679668
-103.0,104,76.473411
-87.0,88,76.813705
-73.0,74,77.106518
-84.0,85,78.461357
-73.0,74,78.750845
-63.0,64,79.040967
-89.0,90,79.411523
-96.0,97,81.21178
-76.0,77,81.528916
-76.0,77,81.832623
-102.0,103,83.271359
-105.0,106,83.675521
-70.0,71,85.049885
-90.0,91,85.407135
-80.0,81,86.076775
-85.0,86,87.450361
-72.0,73,87.729941
-89.0,90,88.076792
-86.0,87,88.415279
-85.0,86,89.789957
