#{"t_start": 1611480697.6367662, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.052235
-315.0,316,8.616763
-267.0,268,11.185305
-200.0,201,15.249999
-255.0,256,17.271199
-146.0,147,17.815304
-177.0,178,19.565712
-143.0,144,20.901417
-162.0,163,22.570979
-120.0,121,23.040054
-114.0,115,24.532876
-131.0,132,25.471271
-119.0,120,26.952871
-93.0,94,27.316845
-129.0,130,28.879387
-122.0,123,29.346822
-106.0,107,30.782694
-114.0,115,31.60381
-107.0,108,33.054149
-94.0,95,33.456426
-92.0,93,33.835897
-127.0,128,35.348115
-106.0,107,36.429288
-96.0,97,37.838893
-103.0,104,38.238915
-71.0,72,38.54666
-102.0,103,40.05071
-101.0,102,40.654436
-87.0,88,41.20607
-97.0,98,43.061107
-87.0,88,43.407838
-110.0,111,44.876589
-65.0,66,45.128898
-97.0,98,45.504097
-86.0,87,46.870992
-102.0,103,47.269285
-99.0,100,48.031271
-81.0,82,49.381081
-89.0,90,49.71951
-85.0,86,50.053432
-91.0,92,51.421587
-91.0,92,51.770721
-86.0,87,52.109015
-96.0,97,53.968672
-76.0,77,54.268381
-87.0,88,54.604262
-82.0,83,55.918771
-92.0,93,56.278391
-78.0,79,56.581768
-90.0,91,57.939989
-89.0,90,58.632761
-102.0,103,60.068573
-77.0,78,60.391949
-87.0,88,60.731228
-74.0,75,61.029624
-81.0,82,62.390319
-83.0,84,62.719306
-84.0,85,63.598613
-87.0,88,65.040096
-88.0,89,65.395683
-74.0,75,65.684408
-90.0,91,67.105254
-134.0,135,67.648902
-81.0,82,69.058806
-97.0,98,69.915625
-73.0,74,70.408628
-60.0,61,71.94596
-100.0,101,72.35051
-81.0,82,72.712606
-79.0,80,74.092711
-81.0,82,74.42325
-75.0,76,74.712724
-88.0,89,76.447774
-83.0,84,76.771862
-73.0,74,77.065501
-92.0,93,78.449878
-91.0,92,78.812797
-73.0,74,79.146878
-72.0,73,79.444177
-76.0,77,81.164815
-85.0,86,81.519241
-91.0,92,81.879769
-63.0,64,83.159514
-96.0,97,83.543398
-76.0,77,83.829751
-73.0,74,85.219479
-87.0,88,85.564058
-71.0,72,86.200122
-70.0,71,87.518296
-82.0,83,87.833718
-70.0,71,88.109164
-80.0,81,88.424743
-74.0,75,89.757229
-101.0,102,90.139869
-82.0,83,91.485665
-74.0,75,92.12995
-70.0,71,92.406045
-90.0,91,92.763393
-77.0,78,94.063263
-82.0,83,94.410729
-82.0,83,94.736073
-80.0,81,96.045105
-70.0,71,96.313766
-68.0,69,96.942641
-73.0,74,98.246226
-80.0,81,98.564993
-73.0,74,98.851582
-80.0,81,99.195217
-85.0,86,101.009863
-116.0,117,101.471717
-93.0,94,103.185136
-95.0,96,103.557286
-70.0,71,103.832572
-70.0,71,105.186842
-73.0,74,105.487006
-134.0,135,106.025851
-73.0,74,107.310039
-64.0,65,107.978843
-73.0,74,108.268018
-63.0,64,108.512924
-73.0,74,109.831517
-107.0,108,110.245548
-86.0,87,110.588942
-78.0,79,111.906311
-72.0,73,112.188478
-85.0,86,112.885463
-95.0,96,114.266162
-73.0,74,114.56972
-92.0,93,114.929241
-75.0,76,116.220957
-84.0,85,116.543603
-90.0,91,116.890058
-79.0,80,118.228212
-75.0,76,118.956987
-92.0,93,119.32966
-96.0,97,120.744184
-73.0,74,121.030826
-68.0,69,121.300553
-122.0,123,122.777486
-81.0,82,123.09968
-107.0,108,124.942288
-79.0,80,125.249407
-90.0,91,125.595063
-71.0,72,126.866194
-94.0,95,127.24133
-95.0,96,127.605832
-79.0,80,128.950304
-70.0,71,129.597041
-125.0,126,130.139339
-82.0,83,131.802314
-88.0,89,132.335203
-90.0,91,132.689465
-79.0,80,134.018116
-72.0,73,134.311408
-94.0,95,135.175603
-79.0,80,136.482819
-75.0,76,136.765657
-92.0,93,137.1201
-85.0,86,138.485604
-73.0,74,138.770561
-83.0,84,139.100571
-95.0,96,140.905958
-88.0,89,141.265343
-89.0,90,141.611194
-71.0,72,142.906868
-92.0,93,143.282623
-78.0,79,143.59388
-92.0,93,144.979616
-77.0,78,145.292098
-63.0,64,145.990727
-80.0,81,147.322109
-79.0,80,147.625672
-102.0,103,148.017473
-93.0,94,149.399958
-75.0,76,149.686902
-80.0,81,150.022006
-70.0,71,151.758775
-75.0,76,152.052984
-71.0,72,152.335548
-75.0,76,152.648537
-94.0,95,154.056519
-84.0,85,154.386004
-70.0,71,154.669605
-87.0,88,156.05176
-64.0,65,156.812915
-61.0,62,157.052079
-78.0,79,158.364139
-70.0,71,158.643142
-72.0,73,158.935391
-70.0,71,159.215771
-72.0,73,160.609393
-84.0,85,161.060049
-103.0,104,162.32213
-75.0,76,163.637307
-75.0,76,163.932081
-69.0,70,164.199182
-80.0,81,165.546531
-85.0,86,165.879979
-74.0,75,166.168006
-81.0,82,167.475727
-71.0,72,168.089256
-76.0,77,168.396109
-109.0,110,169.877949
-63.0,64,170.152339
-82.0,83,170.504457
-86.0,87,170.846275
-76.0,77,172.144772
-85.0,86,172.478439
-75.0,76,173.101354
-79.0,80,174.443425
-71.0,72,174.710528
-212.0,213,176.610882
-80.0,81,176.933776
-76.0,77,177.239478
-78.0,79,178.902543
-91.0,92,179.263779
-89.0,90,179.619117
-98.0,99,181.043669
-72.0,73,181.33077
-96.0,97,181.710284
-85.0,86,183.081555
-71.0,72,183.725276
-70.0,71,184.017688
-74.0,75,185.330563
-85.0,86,185.686876
-89.0,90,186.065516
-75.0,76,187.377513
-76.0,77,187.677891
-70.0,71,187.962832
-87.0,88,189.664462
-77.0,78,189.971909
-76.0,77,190.2738
-76.0,77,190.600765
-77.0,78,192.109453
-87.0,88,192.66163
-72.0,73,193.092399
-77.0,78,194.385599
-77.0,78,195.07306
-77.0,78,195.384746
-109.0,110,196.844566
-166.0,167,197.552973
-170.0,171,199.482014
-74.0,75,199.772198
-89.0,90,201.568892
-74.0,75,201.896104
-70.0,71,202.197299
-97.0,98,203.582072
-75.0,76,203.878212
-79.0,80,204.215036
-69.0,70,205.525638
-93.0,94,206.351578
-76.0,77,206.66399
-71.0,72,207.982396
-94.0,95,208.370532
-71.0,72,208.655184
-93.0,94,210.035825
-76.0,77,210.343651
-124.0,125,211.215922
-78.0,79,212.538686
-75.0,76,212.825957
-77.0,78,213.144263
-77.0,78,214.466475
-76.0,77,214.769946
-89.0,90,215.150354
-86.0,87,216.554825
-91.0,92,217.263092
-71.0,72,217.555005
-93.0,94,218.941445
-78.0,79,219.246774
-71.0,72,219.530737
-77.0,78,219.832772
-62.0,63,221.133283
-76.0,77,221.431103
-86.0,87,222.186083
-86.0,87,223.905208
-88.0,89,224.449836
-75.0,76,224.743786
-87.0,88,226.106149
-73.0,74,226.39192
-70.0,71,226.670618
-94.0,95,228.043897
-135.0,136,229.156946
-86.0,87,229.508643
